Pla.,Horse No.,Horse,Horse URL,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds
1,9,SUPERB CAPITALIST (H092),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H092,Y L Chung,A S Cruz,112,1176,1,-,1 1 1,1:09.39,5.9
2,8,ALLGREEKTOME (H007),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_H007,Z Purton,D A Hayes,122,1259,8,2-1/2,2 2 2,1:09.77,6.7
3,3,EXCELLENT PEERS (G033),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G033,M Chadwick,F C Lor,134,1167,10,2-3/4,12 11 3,1:09.84,63.0
4,4,ARMOUR EAGLE (G093),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G093,H Bentley,J Richards,131,1145,9,3-1/4,9 8 4,1:09.89,41.0
5,2,SON PAK FU (G265),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G265,C L Chau,T P Yung,133,1185,11,3-1/4,4 4 5,1:09.92,6.3
6,10,GOLDEN LINK (D222),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D222,A Badel,P F Yiu,118,1066,12,3-1/2,11 12 6,1:09.94,41.0
7,5,ACE ONE (G196),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G196,L Ferraris,D J Whyte,130,1158,6,3-1/2,6 5 7,1:09.96,16.0
8,11,JUNEAU FLASH (H084),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H084,K Teetan,J Size,117,1183,5,5,8 9 8,1:10.17,9.2
9,7,NICCONI COUNTY (G208),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G208,H Bowman,C Fownes,127,1106,4,6,5 7 9,1:10.34,8.1
10,12,TELECOM SPEED (G259),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G259,M L Yeung,Y S Tsui,117,1169,7,6-1/2,10 10 10,1:10.44,62.0
11,1,FAMILY FOLKS (D505),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D505,A Hamelin,C W Chang,135,1140,2,7,7 6 11,1:10.50,33.0
12,6,BRAVE STAR (G268),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G268,C Y Ho,K W Lui,127,1099,3,8-1/2,3 3 12,1:10.74,3.0
